Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-09-09,7805.85009765625,7846.0498046875,7764.5498046875,7818.60009765625,208400,0.0169544561709427,0.0168123335375422,0.3022631759950494,1.0,1.9645809039299427
2015-09-10,7729.0498046875,7819.85009765625,7678.5,7788.10009765625,160300,-0.0039009540862875,-0.0039085826532683,0.3018875303021958,1.0,1.9600220959594998
2015-09-11,7833.7998046875,7864.85009765625,7759.89990234375,7789.2998046875,136400,0.0001540436070679,0.0001540317435698,0.2901310191142213,1.0,1.8173459574386748
2015-09-14,7811.10009765625,7879.9501953125,7761.85009765625,7872.25,122800,0.0106492492768839,0.0105929453984274,0.2950035109778291,1.0,1.8764781534582557
2015-09-15,7867.35009765625,7880.0,7799.75,7829.10009765625,136500,-0.0054812667717297,-0.0054963440346811,0.2949226339737973,1.0,1.8754966361997858
2015-09-16,7886.85009765625,7913.89990234375,7853.2998046875,7899.14990234375,140000,0.0089473635301291,0.0089075730435619,0.2973805942733669,1.0,1.9053262581490928
2015-09-18,7967.4501953125,8055.0,7955.85009765625,7981.89990234375,241800,0.0104758108180029,0.0104213197402917,0.2984548941327522,1.0,1.9183638807141399
2015-09-21,7911.5,7987.89990234375,7908.35009765625,7977.10009765625,121800,-0.000601336116241,-0.0006015169913181,0.2975573245432141,1.0,1.9074710434564326
2015-09-22,8014.7998046875,8021.60009765625,7787.75,7812.0,168400,-0.0206967564196365,-0.0209139361191767,0.2146565776893193,1.0,0.9013937937954327
2015-09-23,7737.35009765625,7882.89990234375,7723.25,7845.9501953125,146700,0.0043459031378008,0.0043364869720647,0.2126171379755969,1.0,0.8766433063040783
2015-09-24,7838.39990234375,7894.5,7804.10009765625,7868.5,202500,0.0028740693129778,0.0028699470722847,0.2087093252664847,1.0,0.8292183841920625
2015-09-28,7892.7998046875,7893.9501953125,7787.9501953125,7795.7001953125,136300,-0.0092520562607231,-0.0092951223724626,0.1980728453491192,1.0,0.7001348612149135
2015-09-29,7725.7001953125,7926.5498046875,7691.2001953125,7843.2998046875,240700,0.0061058799315578,0.0060873145802312,0.1977978385545739,1.0,0.6967973993705485
2015-09-30,7924.25,7957.7001953125,7874.5,7948.89990234375,210700,0.0134637334139819,0.0133739027610214,0.2038666274735069,1.0,0.7704477667803136
2015-10-01,7992.0498046875,8008.25,7930.64990234375,7950.89990234375,156900,0.0002516071437017,0.0002515754959328,0.184191775476156,1.0,0.5316752377478801
